transcript_id	gene_id	gene_name
NM_029398	Tmem14a	Tmem14a
NM_001290679	Tmem14a	Tmem14a
NM_001077353	Gsta3	Gsta3
NM_010356	Gsta3	Gsta3
NM_001288617	Gsta3	Gsta3
NR_002858	Gm4956	Gm4956
NM_183322	Khdc1a	Khdc1a
NM_001033904	Khdc1c	Khdc1c
NM_001113187	Khdc1b	Khdc1b
NM_001160139	Kcnq5	Kcnq5
NM_023872	Kcnq5	Kcnq5
NM_183018	Rims1	Rims1
NM_001012623	Rims1	Rims1
NM_053270	Rims1	Rims1
NM_001012624	Rims1	Rims1
NM_001012625	Rims1	Rims1
NM_001012623_1	Rims1	Rims1
NM_025746	4933415F23Rik	4933415F23Rik
NR_029533	Mir30a	Mir30a
NR_029717	Mir30c-2	Mir30c-2
NM_001081079	Ogfrl1	Ogfrl1
NM_172124	B3gat2	B3gat2
NR_110972	Smap1	Smap1
NM_001290683	Smap1	Smap1
NM_028534	Smap1	Smap1
NM_026503	Sdhaf4	Sdhaf4
NM_026604	Fam135a	Fam135a
NM_007740	Col9a1	Col9a1
NM_001290691	Col9a1	Col9a1
NM_007733	Col19a1	Col19a1
NM_026719	Lmbrd1	Lmbrd1
NM_175642	Adgrb3	Adgrb3
NM_001204913	Gm20172	Gm20172
NM_001033764	4931408C20Rik	4931408C20Rik
NM_001013750	Gm597	Gm597
NR_105760	Mir6342	Mir6342
NM_001081080	Phf3	Phf3
NM_011200	Ptp4a1	Ptp4a1
NR_002688	Gm13363	Gm13363
NR_033445	4931428L18Rik	4931428L18Rik
NM_153601	Lgsn	Lgsn
NM_029062	Pih1d3	Pih1d3
NR_015347	Gm4850	Gm4850
NM_133235	Khdrbs2	Khdrbs2
NM_001199956	Gm9839	Gm9839
NM_001164286	Gm5415	Gm5415
NM_008922	Prim2	Prim2
NR_033199	1700001G17Rik	1700001G17Rik
NM_008999	Rab23	Rab23
NM_001159729	Rab23	Rab23
NM_145392	Bag2	Bag2
NM_133817	Zfp451	Zfp451
NM_001290699	Zfp451	Zfp451
NM_001290700	Zfp451	Zfp451
NM_001161816	Gm15455	Gm15455
NM_177235	Bend6	Bend6
NM_001276764	Dst	Dst
NM_134448	Dst	Dst
NM_133833	Dst	Dst
NR_105861	Mir6896	Mir6896
NM_010081	Dst	Dst
NR_039562	Mir5103	Mir5103
NM_027159	Ccdc115	Ccdc115
NM_178601	Imp4	Imp4
NM_011206	Ptpn18	Ptpn18
NM_009355	Prss39	Prss39
NM_007685	Cfc1	Cfc1
NM_009356	Prss40	Prss40
NM_213727	Amer3	Amer3
NR_033627	AA619741	AA619741
NM_183019	Arhgef4	Arhgef4
NM_001160235	Fam168b	Fam168b
NM_001160236	Fam168b	Fam168b
NM_174997	Fam168b	Fam168b
NM_175421	Plekhb2	Plekhb2
NM_145516	Plekhb2	Plekhb2
NM_015818	Hs6st1	Hs6st1
NM_198899	Uggt1	Uggt1
NR_105862	Mir6897	Mir6897
NM_153408	Neurl3	Neurl3
NM_001172206	Arid5a	Arid5a
NM_001172205	Arid5a	Arid5a
NM_145996	Arid5a	Arid5a
NM_001290727	Arid5a	Arid5a
NM_001290726	Arid5a	Arid5a
NR_033310	Arid5a	Arid5a
NM_172652	Kansl3	Kansl3
NR_105863	Mir6898	Mir6898
NM_001277076	Fer1l5	Fer1l5
NM_001013374	Lman2l	Lman2l
NM_033570	Cnnm4	Cnnm4
NM_053186	Cnnm3	Cnnm3
NM_001039551	Cnnm3	Cnnm3
NM_153502	Ankrd23	Ankrd23
NM_026241	Ankrd39	Ankrd39
NM_001304329	Sema4c	Sema4c
NM_001126047	Sema4c	Sema4c
NM_001304330	Sema4c	Sema4c
NM_001126046	Fam178b	Fam178b
NM_027957	Fam178b	Fam178b
NM_201365	Fam178b	Fam178b
NM_009942	Cox5b	Cox5b
NM_146107	Actr1b	Actr1b
NR_040290	4933424G06Rik	4933424G06Rik
NM_009539	Zap70	Zap70
NM_001289766	Zap70	Zap70
NM_001289765	Zap70	Zap70
NM_001289612	Zap70	Zap70
NM_018872	Tmem131	Tmem131
NM_001282010	Cnga3	Cnga3
NM_009918	Cnga3	Cnga3
NM_030266	Inpp4a	Inpp4a
NM_001290797	Inpp4a	Inpp4a
NM_172971	Inpp4a	Inpp4a
NM_001290798	Inpp4a	Inpp4a
NM_001290799	Inpp4a	Inpp4a
NM_198006	Coa5	Coa5
NM_026123	Unc50	Unc50
NM_173870	Mgat4a	Mgat4a
NM_001290801	Mgat4a	Mgat4a
NR_024017	4930594C11Rik	4930594C11Rik
NM_028096	2010300C02Rik	2010300C02Rik
NM_207228	Tsga10	Tsga10
NM_001290721	Tsga10	Tsga10
NM_001290720	Tsga10	Tsga10
NR_110976	Tsga10	Tsga10
NM_001037918	Lipt1	Lipt1
NM_026913	Mitd1	Mitd1
NM_027098	Mrpl30	Mrpl30
NM_001033427	Lyg2	Lyg2
NM_027111	Lyg1	Lyg1
NM_172054	Txndc9	Txndc9
NM_198303	Eif5b	Eif5b
NM_019570	Rev1	Rev1
NM_001290814	Aff3	Aff3
NM_001029878	Lonrf2	Lonrf2
NM_145142	Chst10	Chst10
NM_001011684	Nms	Nms
NM_026850	Pdcl3	Pdcl3
NR_105767	Mir6349	Mir6349
NM_008719	Npas2	Npas2
NM_053257	Rpl31	Rpl31
NM_001252219	Rpl31	Rpl31
NM_001252218	Rpl31	Rpl31
NM_018775	Tbc1d8	Tbc1d8
NM_028043	Cnot11	Cnot11
NR_028555	Snord89	Snord89
NM_001033135	Rnf149	Rnf149
NM_170597	Creg2	Creg2
NM_001145660	Rfx8	Rfx8
NM_001177348	Gm3646	Gm3646
NR_040465	1700066B17Rik	1700066B17Rik
NM_008696	Map4k4	Map4k4
NM_001252200	Map4k4	Map4k4
NM_001252201	Map4k4	Map4k4
NM_001252202	Map4k4	Map4k4
NR_037980	Gm16894	Gm16894
NM_010555	Il1r2	Il1r2
NM_008362	Il1r1	Il1r1
NM_001123382	Il1r1	Il1r1
NM_133193	Il1rl2	Il1rl2
NM_001294171	Il1rl1	Il1rl1
NM_010743	Il1rl1	Il1rl1
NM_001025602	Il1rl1	Il1rl1
NM_001161842	Il18r1	Il18r1
NM_001161843	Il18r1	Il18r1
NM_008365	Il18r1	Il18r1
NM_010553	Il18rap	Il18rap
NM_177084	Slc9a4	Slc9a4
NM_001033289	Slc9a2	Slc9a2
NM_172499	Mfsd9	Mfsd9
NM_001081198	Tmem182	Tmem182
NR_040475	4930448I06Rik	4930448I06Rik
NR_027826	Pantr1	Pantr1
NM_008900	Pou3f3	Pou3f3
NR_027891	2900092D14Rik	2900092D14Rik
NR_110495	Pantr2	Pantr2
NR_130904	Dalir	Dalir
NM_023514	Mrps9	Mrps9
NM_053107	Gpr45	Gpr45
NM_001013025	Tgfbrap1	Tgfbrap1
NM_133818	AI597479	AI597479
NM_010212	Fhl2	Fhl2
NM_001289533	Fhl2	Fhl2
NM_010879	Nck2	Nck2
NM_024283	1500015O10Rik	1500015O10Rik
NM_026430	Uxs1	Uxs1
NM_009418	Tpp2	Tpp2
NM_001013799	Mettl21c	Mettl21c
NM_029368	Tex30	Tex30
NM_023645	Kdelc1	Kdelc1
NM_144558	Bivm	Bivm
NM_011729	Ercc5	Ercc5
NM_207281	Mettl21e	Mettl21e
NM_028450	Gulp1	Gulp1
NR_040602	4930521E06Rik	4930521E06Rik
NM_009930	Col3a1	Col3a1
NM_007737	Col5a2	Col5a2
NM_028599	Wdr75	Wdr75
NM_016917	Slc40a1	Slc40a1
NR_037690	Stk-ps2	Stk-ps2
NR_037691	Stk-ps2	Stk-ps2
NM_001160386	Dnah7b	Dnah7b
NM_172653	Slc39a10	Slc39a10
NR_105768	Mir6350	Mir6350
NM_019790	Tmeff2	Tmeff2
NR_045151	9330175M20Rik	9330175M20Rik
NM_138741	Sdpr	Sdpr
NM_028696	Nabp1	Nabp1
NM_001161817	Myo1b	Myo1b
NM_010863	Myo1b	Myo1b
NM_001290982	Myo1b	Myo1b
NM_001308266	Stat4	Stat4
NM_011487	Stat4	Stat4
NM_001205314	Stat1	Stat1
NM_009283	Stat1	Stat1
NM_001205313	Stat1	Stat1
NM_001081081	Gls	Gls
NM_001113383	Gls	Gls
NM_008667	Nab1	Nab1
NM_001142647	Tmem194b	Tmem194b
NR_024590	Tmem194b	Tmem194b
NM_133829	Mfsd6	Mfsd6
NM_178081	Mfsd6	Mfsd6
NM_008384	Inpp1	Inpp1
NM_146108	Hibch	Hibch
NM_144953	1700019D03Rik	1700019D03Rik
NM_010834	Mstn	Mstn
NM_027070	1700019A02Rik	1700019A02Rik
NM_153556	Pms1	Pms1
NM_145517	Ormdl1	Ormdl1
NM_001285839	Osgepl1	Osgepl1
NR_104361	Osgepl1	Osgepl1
NR_104360	Osgepl1	Osgepl1
NM_133728	Asnsd1	Asnsd1
NM_001290984	Asnsd1	Asnsd1
NM_001252070	Dnah7a	Dnah7a
NM_133810	Stk17b	Stk17b
NM_001001883	Hecw2	Hecw2
NR_106149	Mir7681	Mir7681
NM_172655	Hecw2	Hecw2
NM_030025	Ccdc150	Ccdc150
NM_001033194	Gtf3c3	Gtf3c3
NM_001163314	Pgap1	Pgap1
NM_001081433	Ankrd44	Ankrd44
NM_031179	Sf3b1	Sf3b1
NM_026424	Coq10b	Coq10b
NM_001039710	Coq10b	Coq10b
NM_010477	Hspd1	Hspd1
NM_008303	Hspe1	Hspe1
NM_025283	Mob4	Mob4
NM_028713	Rftn2	Rftn2
NM_175439	Mars2	Mars2
NM_001113367	Boll	Boll
NM_029267	Boll	Boll
NM_001114663	Plcl1	Plcl1
NR_045837	9130227L01Rik	9130227L01Rik
NR_126076	1700003I22Rik	1700003I22Rik
NR_126075	1700003I22Rik	1700003I22Rik
NM_027661	Hsfy2	Hsfy2
NM_139146	Satb2	Satb2
NR_024326	9130024F11Rik	9130024F11Rik
NR_024325	9130024F11Rik	9130024F11Rik
NR_037990	BC055402	BC055402
NR_037999	4930558J18Rik	4930558J18Rik
NM_028546	1700066M21Rik	1700066M21Rik
NM_001302964	Tyw5	Tyw5
NM_001302963	Tyw5	Tyw5
NM_001302962	Tyw5	Tyw5
NM_001037742	Tyw5	Tyw5
NM_001081181	9430016H08Rik	9430016H08Rik
NM_144882	Spats2l	Spats2l
NM_001164566	Spats2l	Spats2l
NR_027630	Kctd18	Kctd18
NM_001159864	Kctd18	Kctd18
NM_001159865	Kctd18	Kctd18
NM_001177867	Sgol2a	Sgol2a
NM_199007	Sgol2a	Sgol2a
NM_009676	Aox1	Aox1
NM_023617	Aox3	Aox3
NM_023631	Aox4	Aox4
NM_001008419	Aox2	Aox2
NM_025824	Bzw1	Bzw1
NR_027854	Clk1	Clk1
NR_027853	Clk1	Clk1
NM_001042634	Clk1	Clk1
NM_001285826	Ppil3	Ppil3
NM_001285827	Ppil3	Ppil3
NM_027351	Ppil3	Ppil3
NM_027374	Ppil3	Ppil3
NM_022988	Nif3l1	Nif3l1
NM_001025378	Orc2	Orc2
NM_008765	Orc2	Orc2
NM_001271526	Orc2	Orc2
NM_172513	Fam126b	Fam126b
NM_025597	Ndufb3	Ndufb3
NR_045007	Gm20257	Gm20257
NM_175370	Als2cr12	Als2cr12
NM_001289704	Cflar	Cflar
NM_001293804	Cflar	Cflar
NM_207653	Cflar	Cflar
NM_009805	Cflar	Cflar
NM_001293805	Cflar	Cflar
NM_009812	Casp8	Casp8
NM_001080126	Casp8	Casp8
NM_001277926	Casp8	Casp8
NM_172406	Trak2	Trak2
NM_172656	Stradb	Stradb
NM_175200	Als2cr11	Als2cr11
NM_001033449	Tmem237	Tmem237
NM_001037812	Tmem237	Tmem237
NM_001164682	Mpp4	Mpp4
NM_145143	Mpp4	Mpp4
NM_001159948	Als2	Als2
NM_028717	Als2	Als2
NM_146109	Als2	Als2
NM_001033373	Cdk15	Cdk15
NM_008057	Fzd7	Fzd7
NM_001013771	Gm973	Gm973
NM_009460	Sumo1	Sumo1
NM_018868	Nop58	Nop58
NR_028554	Snord70	Snord70
NR_028521	Snord11	Snord11
NM_007561	Bmpr2	Bmpr2
NM_001037725	Fam117b	Fam117b
NM_027407	Ica1l	Ica1l
NM_021312	Wdr12	Wdr12
NM_001199060	Wdr12	Wdr12
NM_001199061	Wdr12	Wdr12
NM_001285463	Carf	Carf
NM_139150	Carf	Carf
NR_104344	Carf	Carf
NM_001285473	Carf	Carf
NM_173444	Nbeal1	Nbeal1
NM_030013	Cyp20a1	Cyp20a1
NM_001198571	Abi2	Abi2
NM_001198570	Abi2	Abi2
NM_198127	Abi2	Abi2
NM_001045513	Raph1	Raph1
NM_007642	Cd28	Cd28
NM_001281976	Ctla4	Ctla4
NM_009843	Ctla4	Ctla4
NM_017480	Icos	Icos
NR_040483	9530026F06Rik	9530026F06Rik
NM_001081050	Pard3b	Pard3b
NM_001077405	Nrp2	Nrp2
NM_001077404	Nrp2	Nrp2
NM_001077407	Nrp2	Nrp2
NM_001077406	Nrp2	Nrp2
NM_001077403	Nrp2	Nrp2
NM_010939	Nrp2	Nrp2
NR_040601	4930487H11Rik	4930487H11Rik
NM_001114609	Ino80d	Ino80d
NM_001081436	Ino80d	Ino80d
NR_045915	Ino80dos	Ino80dos
NR_045914	Ino80dos	Ino80dos
NM_001160040	Ndufs1	Ndufs1
NM_001160039	Ndufs1	Ndufs1
NM_001160038	Ndufs1	Ndufs1
NM_145518	Ndufs1	Ndufs1
NM_018796	Eef1b2	Eef1b2
NR_028558	Snora41	Snora41
NM_146250	Gpr1	Gpr1
NM_001285936	Zdbf2	Zdbf2
NM_001285937	Zdbf2	Zdbf2
NM_001267872	Zdbf2	Zdbf2
NM_028673	Zdbf2	Zdbf2
NM_011780	Adam23	Adam23
NM_001177600	Adam23	Adam23
NM_001081658	Dytn	Dytn
NM_029696	Mdh1b	Mdh1b
NM_172422	Fastkd2	Fastkd2
NM_001256158	4933402D24Rik	4933402D24Rik
NR_027824	Gm13749	Gm13749
NR_035484	Mir1958	Mir1958
NM_033563	Klf7	Klf7
NR_105864	Mir6899	Mir6899
NM_133828	Creb1	Creb1
NM_001037726	Creb1	Creb1
NM_009952	Creb1	Creb1
NM_025964	Mettl21a	Mettl21a
NR_038009	2810408I11Rik	2810408I11Rik
NM_001097644	Ccnyl1	Ccnyl1
NM_022721	Fzd5	Fzd5
NM_001042659	Fzd5	Fzd5
NM_001039493	Plekhm3	Plekhm3
NM_027582	Akr1cl	Akr1cl
NM_007777	Cryge	Cryge
NM_007776	Crygd	Crygd
NM_007775	Crygc	Crygc
NM_001082573	Crygc	Crygc
NM_144761	Crygb	Crygb
NM_007774	Cryga	Cryga
NM_001285882	D630023F18Rik	D630023F18Rik
NM_175293	D630023F18Rik	D630023F18Rik
NM_001285881	D630023F18Rik	D630023F18Rik
NM_001111320	Idh1	Idh1
NM_010497	Idh1	Idh1
NM_011086	Pikfyve	Pikfyve
NM_139270	Pth2r	Pth2r
NM_027010	Crygf	Crygf
NM_008632	Map2	Map2
NM_001039934	Map2	Map2
NM_175510	Unc80	Unc80
NM_025683	Rpe	Rpe
NM_001122738	Kansl1l	Kansl1l
NM_177645	Kansl1l	Kansl1l
NM_007381	Acadl	Acadl
NM_001113387	Myl1	Myl1
NM_021285	Myl1	Myl1
NM_021295	Lancl1	Lancl1
NM_001190984	Lancl1	Lancl1
NM_001190985	Lancl1	Lancl1
NM_001080809	Cps1	Cps1
NM_010154	Erbb4	Erbb4
NM_011770	Ikzf2	Ikzf2
NM_029160	Spag16	Spag16
NM_001271533	Spag16	Spag16
NM_025728	Spag16	Spag16
NM_177164	Vwc2l	Vwc2l
NM_007525	Bard1	Bard1
NM_175210	Abca12	Abca12
NM_026195	Atic	Atic
NM_010233	Fn1	Fn1
NM_001276413	Fn1	Fn1
NM_001276412	Fn1	Fn1
NM_001276411	Fn1	Fn1
NM_001276410	Fn1	Fn1
NM_001276408	Fn1	Fn1
NM_001276409	Fn1	Fn1
NR_040308	Apol7d	Apol7d
NR_027659	Gm8883	Gm8883
NR_027658	Gm8883	Gm8883
NR_040454	4933417E11Rik	4933417E11Rik
NM_001005423	Mreg	Mreg
NM_023523	Pecr	Pecr
NM_175564	Tmem169	Tmem169
NM_009533	Xrcc5	Xrcc5
NM_001045533	March4	March4
NM_018817	Smarcal1	Smarcal1
NM_176980	Ankar	Ankar
NM_009084	Rpl37a	Rpl37a
NM_008342	Igfbp2	Igfbp2
NM_010518	Igfbp5	Igfbp5
NM_009407	Tnp1	Tnp1
NR_038001	1700027A15Rik	1700027A15Rik
NR_038002	1700027A15Rik	1700027A15Rik
NR_003202	Pinc	Pinc
NR_040605	D530049I02Rik	D530049I02Rik
NR_045311	6030407O03Rik	6030407O03Rik
NR_105769	Mir6351	Mir6351
NM_001289895	Tns1	Tns1
NM_027884	Tns1	Tns1
NM_001170641	Rufy4	Rufy4
NM_001034060	Rufy4	Rufy4
NM_009909	Cxcr2	Cxcr2
NM_178241	Cxcr1	Cxcr1
NR_035449	Mir1928	Mir1928
NM_029711	Arpc2	Arpc2
NM_174985	Gpbar1	Gpbar1
NM_001190444	Aamp	Aamp
NM_146110	Aamp	Aamp
NM_025580	Pnkd	Pnkd
NM_001039509	Pnkd	Pnkd
NM_027154	Tmbim1	Tmbim1
NM_019999	Pnkd	Pnkd
NM_001033345	Catip	Catip
NM_013612	Slc11a1	Slc11a1
NM_153088	Ctdsp1	Ctdsp1
NR_029743	Mir26b	Mir26b
NM_009509	Vil1	Vil1
NM_176972	Usp37	Usp37
NM_021383	Rqcd1	Rqcd1
NM_001081456	Plcd4	Plcd4
NM_148937	Plcd4	Plcd4
NM_029888	Zfp142	Zfp142
NM_001305652	Bcs1l	Bcs1l
NM_025784	Bcs1l	Bcs1l
NM_001305230	Rnf25	Rnf25
NM_021313	Rnf25	Rnf25
NM_175031	Stk36	Stk36
NM_001014974	Ttll4	Ttll4
NM_024264	Cyp27a1	Cyp27a1
NM_153744	Prkag3	Prkag3
NM_009526	Wnt6	Wnt6
NM_009518	Wnt10a	Wnt10a
NM_009872	Cdk5r2	Cdk5r2
NM_153111	Fev	Fev
NM_021541	Cryba2	Cryba2
NR_029876	Mir375	Mir375
NM_001039495	Ccdc108	Ccdc108
NM_010544	Ihh	Ihh
NM_029342	Nhej1	Nhej1
NM_194333	Slc23a3	Slc23a3
NM_026977	Cnppd1	Cnppd1
NM_001305231	Fam134a	Fam134a
NM_170755	Fam134a	Fam134a
NM_001305232	Fam134a	Fam134a
NM_001159906	Zfand2b	Zfand2b
NM_001159905	Zfand2b	Zfand2b
NM_026846	Zfand2b	Zfand2b
NM_023732	Abcb6	Abcb6
NM_001003917	Atg9a	Atg9a
NM_001288612	Atg9a	Atg9a
NM_001288613	Atg9a	Atg9a
NR_109938	Atg9a	Atg9a
NM_001267620	Ankzf1	Ankzf1
NM_026187	Ankzf1	Ankzf1
NR_051998	Ankzf1	Ankzf1
NR_051999	Ankzf1	Ankzf1
NM_029010	Glb1l	Glb1l
NM_001277992	Stk16	Stk16
NM_011494	Stk16	Stk16
NR_102731	Stk16	Stk16
NM_009447	Tuba4a	Tuba4a
NM_001243091	A630095N17Rik	A630095N17Rik
NM_001243090	A630095N17Rik	A630095N17Rik
NM_001159884	Dnajb2	Dnajb2
NM_178055	Dnajb2	Dnajb2
NM_001159883	Dnajb2	Dnajb2
NM_020266	Dnajb2	Dnajb2
NM_001159885	Dnajb2	Dnajb2
NM_008985	Ptprn	Ptprn
NM_009049	Resp18	Resp18
NM_016878	Dnpep	Dnpep
NM_001110831	Dnpep	Dnpep
NM_010043	Des	Des
NR_037976	Gm15179	Gm15179
NM_007463	Speg	Speg
NM_001085371	Speg	Speg
NM_001085370	Speg	Speg
NM_001173477	Speg	Speg
NM_133708	Gmppa	Gmppa
NM_183022	Asic4	Asic4
NM_001001566	Chpf	Chpf
NM_001001565	Chpf	Chpf
NM_177056	Tmem198	Tmem198
NM_178884	Obsl1	Obsl1
NM_010564	Inha	Inha
NM_027886	Stk11ip	Stk11ip
NM_009208	Slc4a3	Slc4a3
NR_038012	Gm17751	Gm17751
NR_038013	Gm17751	Gm17751
NR_105761	Mir6343	Mir6343
NM_007936	Epha4	Epha4
NR_105770	Mir6352	Mir6352
NM_001159520	Pax3	Pax3
NM_008781	Pax3	Pax3
NM_001004173	Sgpp2	Sgpp2
NM_001278075	Farsb	Farsb
NM_011811	Farsb	Farsb
NR_102757	Farsb	Farsb
NR_102758	Farsb	Farsb
NM_026713	Mogat1	Mogat1
NM_028817	Acsl3	Acsl3
NM_001001981	Utp14b	Utp14b
NM_001136222	Acsl3	Acsl3
NM_001033606	Acsl3	Acsl3
NM_001136226	Utp14b	Utp14b
NM_021342	Kcne4	Kcne4
NM_009129	Scg2	Scg2
NM_183027	Ap1s3	Ap1s3
NM_001111279	Wdfy1	Wdfy1
NM_027057	Wdfy1	Wdfy1
NM_001081210	Mrpl44	Mrpl44
NM_009255	Serpine2	Serpine2
NM_173425	Fam124b	Fam124b
NM_016716	Cul3	Cul3
NR_040460	1700016L21Rik	1700016L21Rik
NM_175291	Dock10	Dock10
NM_001285927	Dock10	Dock10
NM_172849	Nyap2	Nyap2
NR_105762	Mir6344	Mir6344
NM_010570	Irs1	Irs1
NM_029777	Rhbdd1	Rhbdd1
NM_001122685	Rhbdd1	Rhbdd1
NM_007735	Col4a4	Col4a4
NM_007734	Col4a3	Col4a3
NM_029409	Mff	Mff
NM_025453	Tm4sf20	Tm4sf20
NM_010472	Agfg1	Agfg1
NM_030556	Slc19a3	Slc19a3
NM_001159738	Ccl20	Ccl20
NM_016960	Ccl20	Ccl20
NM_027725	Daw1	Daw1
NR_027636	Daw1	Daw1
NM_172430	Sphkap	Sphkap
NM_001003948	Pid1	Pid1
NR_105771	Mir6353	Mir6353
NM_152915	Dner	Dner
NR_039588	Mir5126	Mir5126
NM_133975	Trip12	Trip12
NM_025386	Fbxo36	Fbxo36
NM_027921	Slc16a14	Slc16a14
NM_213615	A530032D15Rik	A530032D15Rik
NM_001081746	Gm7609	Gm7609
NM_175219	C130026I21Rik	C130026I21Rik
NM_001037909	C130026I21Rik	C130026I21Rik
NM_030194	Sp110	Sp110
NM_175397	Sp110	Sp110
NM_001013817	Sp140	Sp140
NM_013673	Sp100	Sp100
NM_177055	A630001G21Rik	A630001G21Rik
NR_106172	Mir8096	Mir8096
NR_108086	9930111H07Rik	9930111H07Rik
NM_133781	Cab39	Cab39
NM_022417	Itm2c	Itm2c
NR_037692	4933407L21Rik	4933407L21Rik
NM_001033290	Gpr55	Gpr55
NM_001122732	Spata3	Spata3
NM_028647	Spata3	Spata3
NM_027300	Spata3	Spata3
NM_027029	Spata3	Spata3
NM_001144992	2810459M11Rik	2810459M11Rik
NM_001144993	2810459M11Rik	2810459M11Rik
NM_027357	Psmd1	Psmd1
NM_008311	Htr2b	Htr2b
NM_030184	Armc9	Armc9
NM_027456	Armc9	Armc9
NM_145222	B3gnt7	B3gnt7
NM_010880	Ncl	Ncl
